                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1655,                   4.88,                 4.2224,                0.00038,                0.03361,                0.00028,                0.00011,                 4.5837,                 4.6518,                 4.1593,             0.00012726,             0.00012726,             0.00012726
                      2,                 4.0986,                 4.7548,                 4.1579,                0.00035,                0.03361,                0.00028,                0.00011,                 4.5563,                  4.728,                 4.1413,             0.00026335,             0.00026335,             0.00026335
                      3,                 3.9936,                 4.5084,                 4.0778,                 0.0004,                0.03922,                0.00049,                0.00015,                 4.4889,                 4.6734,                 4.0917,             0.00039917,             0.00039917,             0.00039917
                      4,                 3.6886,                 4.2138,                 3.8462,                0.00046,                0.04482,                0.00076,                0.00019,                 4.4876,                 4.7786,                 4.1119,             0.00053472,             0.00053472,             0.00053472
                      5,                 3.5545,                 4.1277,                 3.6418,                0.00038,                0.04482,                0.00088,                0.00018,                 4.4636,                 4.6377,                  4.154,                0.00067,                0.00067,                0.00067
                      6,                 3.3729,                 3.9997,                 3.3877,                0.00044,                0.03922,                0.00049,                0.00015,                 4.6045,                 4.8383,                 4.2963,             0.00080501,             0.00080501,             0.00080501
                      7,                 3.2698,                 3.8712,                 3.1974,                0.00043,                0.03641,                0.00087,                0.00022,                 4.6167,                 4.7291,                 4.3194,              0.0009036,              0.0009036,              0.0009036
                      8,                 3.1855,                 3.7266,                 3.0415,                0.86399,                0.01961,                0.00428,                0.00136,                 4.0899,                 4.4199,                 3.7208,              0.0009027,              0.0009027,              0.0009027
                      9,                 3.0957,                 3.5463,                 2.8752,                0.86156,                0.05602,                0.00622,                0.00228,                 3.5723,                 6.2024,                 3.5692,              0.0009018,              0.0009018,              0.0009018
                     10,                 3.0493,                 3.4596,                 2.8393,                0.48001,                0.11961,                0.04295,                0.01428,                 3.1955,                 4.5505,                 2.9764,              0.0009009,              0.0009009,              0.0009009
                     11,                 2.9095,                 3.1823,                 2.6875,                0.55501,                0.12111,                0.07818,                0.02515,                 3.0463,                 3.4885,                 2.7154,                 0.0009,                 0.0009,                 0.0009
                     12,                 2.8579,                 3.0981,                 2.5938,                 0.5338,                0.14269,                0.07515,                0.02102,                 2.9442,                 7.1981,                 2.5979,              0.0008991,              0.0008991,              0.0008991
